simulation_number,probability,payout_multiplier
289,0.000672,43.95
290,0.000706,44.1
291,0.000634,44.25
292,0.000704,44.4
293,0.000644,44.55
294,0.000674,44.7
295,0.000708,44.85
296,0.000692,45.0
297,0.000604,45.15
298,0.000682,45.3
299,0.000632,45.45
300,0.00063,45.6
301,0.000586,45.75
302,0.000656,45.9
303,0.000538,46.05
304,0.00056,46.2
305,0.000584,46.35
306,0.00062,46.5
307,0.00055,46.65
308,0.000536,46.8
309,0.00056,46.95
310,0.00057,47.1
311,0.000524,47.25
312,0.000548,47.4
313,0.000496,47.55
314,0.000538,47.7
315,0.000496,47.85
316,0.00048,48.0
317,0.000436,48.15
318,0.000462,48.3
319,0.000532,48.45
320,0.000464,48.6
321,0.000472,48.75
322,0.000468,48.9
323,0.000446,49.05
324,0.000424,49.2
325,0.000458,49.35
326,0.000434,49.5
327,0.0004,49.65
328,0.000464,49.8
329,0.000342,49.95
330,0.000402,50.1
331,0.000388,50.25
332,0.0004,50.4
333,0.000376,50.55
334,0.000342,50.7
335,0.000388,50.85
336,0.00038,51.0
337,0.000392,51.15
338,0.000368,51.3
339,0.00036,51.45
340,0.00033,51.6
341,0.00033,51.75
342,0.00033,51.9
343,0.000376,52.05
344,0.000338,52.2
345,0.000376,52.35
346,0.00031,52.5
347,0.000346,52.65
348,0.00032,52.8
349,0.000302,52.95
350,0.000368,53.1
351,0.000262,53.25
352,0.000296,53.4
353,0.000276,53.55
354,0.000282,53.7
355,0.000302,53.85
356,0.000278,54.0
357,0.00024,54.15
358,0.000308,54.3
359,0.000266,54.45
360,0.000308,54.6
361,0.000244,54.75
362,0.00027,54.9
363,0.000278,55.05
364,0.0003,55.2
365,0.00029,55.35
366,0.000244,55.5
367,0.000228,55.65
368,0.000218,55.8
369,0.000236,55.95
370,0.00021,56.1
371,0.000264,56.25
372,0.0002,56.4
373,0.000232,56.55
374,0.000222,56.7
375,0.000262,56.85
376,0.000224,57.0
377,0.000216,57.15
378,0.0002,57.3
379,0.0002,57.45
380,0.000202,57.6
381,0.000204,57.75
382,0.00017,57.9
383,0.00021,58.05
384,0.000178,58.2
385,0.0002,58.35
386,0.000178,58.5
387,0.00019,58.65
388,0.000188,58.8
389,0.000192,58.95
390,0.000152,59.1
391,0.000176,59.25
392,0.000158,59.4
393,0.00017,59.55
394,0.000158,59.7
395,0.000188,59.85
396,0.00015,60.0
397,0.000184,60.15
398,0.00017,60.3
399,0.000168,60.45
400,0.00016,60.6
401,0.000182,60.75
402,0.000178,60.9
403,0.000152,61.05
404,0.000146,61.2
405,0.000202,61.35
406,0.000142,61.5
407,0.000152,61.65
408,0.000126,61.8
409,0.000136,61.95
410,0.00012,62.1
411,0.00013,62.25
412,0.000138,62.4
413,0.000136,62.55
414,0.000134,62.7
415,0.000134,62.85
416,0.000112,63.0
417,0.000104,63.15
418,0.00011,63.3
419,0.000124,63.45
420,0.000134,63.6
421,0.000124,63.75
422,0.000116,63.9
423,9.8e-05,64.05
424,0.000124,64.2
425,0.0001,64.35
426,9.2e-05,64.5
427,0.00011,64.65
428,0.000114,64.8
429,0.000112,64.95
430,0.000104,65.1
431,6.8e-05,65.25
432,0.0001,65.4
433,9.8e-05,65.55
434,0.00011,65.7
435,9.2e-05,65.85
436,0.00013,66.0
437,9.4e-05,66.15
438,8.2e-05,66.3
439,0.000114,66.45
440,8.2e-05,66.6
441,7.6e-05,66.75
442,8.4e-05,66.9
443,8.6e-05,67.05
444,0.000106,67.2
445,8.6e-05,67.35
446,7.4e-05,67.5
447,8.8e-05,67.65
448,8.2e-05,67.8
449,6.8e-05,67.95
450,7.2e-05,68.1
451,7e-05,68.25
452,8.2e-05,68.4
453,6.4e-05,68.55
454,8.4e-05,68.7
455,9.4e-05,68.85
456,5.8e-05,69.0
457,7.6e-05,69.15
458,5.4e-05,69.3
